id,date,text,permalink,brand
924737350789357568,2017-10-29 21:38,hampir semua jenis phone 32gb internal dh cecah 1k  noob nak mampus takleh fight xiaomi  hahahaha,https://twitter.com/ciddhere/status/924737350789357568,Xiaomi
924704030433058816,2017-10-29 19:26, xiaomiindia using xiaomi a1 since month amazing untill new update nt charge phone restarted charge idky faced many friends  fixit pleas,https://twitter.com/Thegujjuchokro/status/924704030433058816,Xiaomi
924699761931890688,2017-10-29 19:09,ve posted new blog  samsung xiaomi contributes nearly forty five  phone marketplace http  ifttt2xwoo8r,https://twitter.com/GoolReal1/status/924699761931890688,Xiaomi
924664739833278465,2017-10-29 16:50,two android phone manufacturers world   xiaomi others ,https://twitter.com/salisu_salim/status/924664739833278465,Xiaomi
924554665693298689,2017-10-29 09:33,problem  xiaomi  phones poor integration  googleinca assistant  android auto ,https://twitter.com/ijazbm/status/924554665693298689,Xiaomi
924551140766662656,2017-10-29 09:19, c4eash using embargo xiaomi phone nt think mi note 3 looks like xiaomi something new offer ,https://twitter.com/iRishabhM/status/924551140766662656,Xiaomi
924511718155304961,2017-10-29 06:42, xiaomiindia sale service bad  costumer service provides poor service  never ever buy ur phone recommended anyone buy xiaomi phon,https://twitter.com/SyedZee57880403/status/924511718155304961,Xiaomi
924508090845691904,2017-10-29 06:28,thanks advice  yeah first phones type phase beta first problem,https://twitter.com/oias_/status/924508090845691904,Xiaomi
924492203623301120,2017-10-29 05:24,xiaomi 2 nov ko konsa phone launch kar sakte  pixel 2 la unboxing bahut jabbar dast tha   technicalguruji  bologuruji,https://twitter.com/jaykachhiya2/status/924492203623301120,Xiaomi
924481902995820544,2017-10-29 04:43,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/924481902995820544,Xiaomi
924468790242566145,2017-10-29 03:51,like share want original phone cases xiaomi redmi 3s cas  https  wwwcbsalesscomoriginalphonecasesforxiaomiredmi3scasesilicone3sproforredmi3xcasebackcoverluxuryforredmi3procasecutedog …pictwittercomxrjhronxau,https://twitter.com/PeterDonk2/status/924468790242566145,Xiaomi
924433901031890944,2017-10-29 02:33,iphone knocked  used xiaomi phon,https://twitter.com/s34P4VBZcSqzrDl/status/924433901031890944,Xiaomi
924425318169014272,2017-10-29 01:59,xiaomi redmi note 4  s625  price nigeria  phone specs features https  googlfbdjkdv5,https://twitter.com/_joetech17/status/924425318169014272,Xiaomi
924387253643706368,2017-10-28 23:27, xiaomiindia  xiaomi fix  please help  phone  mi a1  carrier  airtel  unable call send sms  pictwittercom91mdhw8dex,https://twitter.com/ssngage/status/924387253643706368,Xiaomi
924352698526380035,2017-10-28 21:10,retweeted pride news   pridenewsza   xiaomi mi mix 2 review  phone performance  pricing design  http  fbme6lzkfawwu,https://twitter.com/Giga__/status/924352698526380035,Xiaomi
924352644902277120,2017-10-28 21:10,like share want original phone cases xiaomi redmi 3s cas  https  wwwcbsalesscomoriginalphonecasesforxiaomiredmi3scasesilicone3sproforredmi3xcasebackcoverluxuryforredmi3procasecutedog …pictwittercomsmkzmrkfza,https://twitter.com/PeterDonk2/status/924352644902277120,Xiaomi
924351499328778241,2017-10-28 21:05,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/924351499328778241,Xiaomi
924303620950188032,2017-10-28 17:55,check list best places us eu buy xiaomi phones https  xiaomifirmwarecomguidesandtipstopshopsbuyxiaomiphone …  xiaomi  miphones  miuipictwittercompo1q8iyhw1,https://twitter.com/xiaomifirmware/status/924303620950188032,Xiaomi
924266875495751681,2017-10-28 15:29, oppomalaysia may recommend phone selfie good  right using xiaomi redmi note 4 selfie camera ,https://twitter.com/gamerboy12457/status/924266875495751681,Xiaomi
