username;date;text;hashtags;id;permalink,,,,,,,,,,,,
";2017-12-31 02:19;""Huawei P9 Plus phone not switching back on even after leaving it overnight to dry. Guess it's time to head to a service centre. And of course it has to happen on New Year's Eve. *sigh*"";;""947276090271195137"";https://twitter.com/fatcatlim/status/947276090271195137",,,,,,,,,,,,
";2017-12-31 02:11;""How to Clear Your Safari Browsing History and Data # unlocking # phone # iphone # software # app # mobile # cellphone # alcatel # blackberry # ericsson # htc # huawei # motorola # lg # nokia # lumia # sagem # samsung # sony # zte # dell # dellinspiron # delllatitudehttp://crwd.fr/2BW7VGn"";# # # # # # # # # # # # # # # # # # # # # # #;""947273886424535040"";https://twitter.com/Rozmanaria/status/947273886424535040",,,,,,,,,,,,
";2017-12-31 02:01;""Overwhelmed and Exhausted? Executive Coaches Recommend These 5 Practices # unlocking # phone # iphone # software # app # mobile # cellphone # alcatel # blackberry # ericsson # htc # huawei # motorola # lg # nokia # lumia # sagem # samsung # dell # dellinspiron # delllatitudehttp://crwd.fr/2lsKaPl"";# # # # # # # # # # # # # # # # # # # # #;""947271373004697600"";https://twitter.com/Rozmanaria/status/947271373004697600",,,,,,,,,,,,
";2017-12-31 01:02;""Phone Case Huawei P9 ""MOTOCROSS EXTREME SPORT MOTOCROSS MOTOCROSS BIKE ... - Free delivery and returns on eligible orders. Buy Phone Case Huawei P9 ""MOTOCROSS EXTREME SPORT MOTO http://ow.ly/C3qI50fYvUi"";;""947256578192879616"";https://twitter.com/corey_barker22/status/947256578192879616",,,,,,,,,,,,
";2017-12-31 00:21;""Honor 8 Pro was the best gift to myself I suppose! Brilliant device! Please continue to make more phones with excellent hardware and a very reasonable price tag!"";;""947246285047791616"";https://twitter.com/shashanksurya93/status/947246285047791616",,,,,,,,,,,,
";2017-12-31 00:14;""# Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. -http://tunemywebsite.com/huawei-slowest-yearly-growth �?;# # #;""947244544856330241"";https://twitter.com/CoolClubbing/status/947244544856330241",,,,,,,,,,
";2017-12-31 00:14;""https://twitter.com/costincercel "" # Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. - http://tunemywebsite.com/huawei-slowest-yearly-growth �?"";# # #;""947244461435715584"";https://twitter.com/al3xcostin/status/947244461435715584",,,,,,,,,,
";2017-12-31 00:08;"""" # Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. - http://tunemywebsite.com/huawei-slowest-yearly-growth �?"";# # #;""947242933979373569"";https://twitter.com/tunemywebpromo/status/947242933979373569",,,,,,,,,,
";2017-12-31 00:04;""Erica do you know where I can find info on which of the “off-brand�?(not Samsung or apple) phones will work for Verizon. I’m interested in stuff like the H plus 5T and the Huawei P 10...? Think that’s what it’s called. Can’t find much good info out there!:/ can ya help?"";;""947242065926045696"";https://twitter.com/iambicycles/status/947242065926045696",,,,,,,,,,,,
";2017-12-31 00:02;"""" # Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. - http://tunemywebsite.com/huawei-slowest-yearly-growth �?"";# # #;""947241412919259138"";https://twitter.com/tunemywebsite/status/947241412919259138",,,,,,,,,,
";2017-12-31 00:01;""# Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. - http://tunemywebsite.com/huawei-slowest-yearly-growth �?;# # #;""947241214406950914"";https://twitter.com/Cardiff4Jobs/status/947241214406950914",,,,,,,,,,
";2017-12-31 00:00;""# Huawei slowest yearly growth - Huawei's shopper gathering", which offers # gadgets including cell phones and # smartwatches," is required to see income grow 30 for each penny to 236 billion yuan in 2017. - http://tunemywebsite.com/huawei-slowest-yearly-growth �?;# # #;""947240978544517120"";https://twitter.com/CostinCercel/status/947240978544517120",,,,,,,,,,
";2017-12-30 23:38;""After speaking with Google's help"," the only option available to me is to send my phone in to Huawei for them to replace the battery for $160. I don't even know where to begin on how frustrating and disappointing that is."";;""947235437399216128"";https://twitter.com/PivnickM/status/947235437399216128",,,,,,,,,,,
";2017-12-30 23:18;""Mugged? What? Sorry! Huawei makes great phones...I thought Xiaomi has good reviews and reputation as the flagship China android based mobile phone. I'm wondering why you had a bad experience. Was it a mid range or high end device?"";;""947230461637603334"";https://twitter.com/DrGeeONE/status/947230461637603334",,,,,,,,,,,,
";2017-12-30 22:23;""I Love Huawei Phones But Cant Afford BTW I Heared And Saw Huawei Own Kirin Soc Are Very Fast Snappy And Good For His Its Devices. # HuaweiMate10Pro"";#;""947216472731828224"";https://twitter.com/LaXu_047/status/947216472731828224",,,,,,,,,,,,
";2017-12-30 21:42;""Samsung and LG say they do not slow down older phones... # unlocking # phone # iphone # software # app # mobile # cellphone # alcatel # blackberry # ericsson # htc # huawei # motorola # lg # nokia # lumia # sagem # samsung # sony # zte # dell # dellinspiron # delllatitudehttp://crwd.fr/2ltUM0o"";# # # # # # # # # # # # # # # # # # # # # # #;""947206175443116038"";https://twitter.com/Rozmanaria/status/947206175443116038",,,,,,,,,,,,
";2017-12-30 21:16;""People with China phones should make their own WhatsApp groups. Tecno ",itel,Huawei ,"ZTE and many others @ tumutungire @ IsamichaelReal @ AganaAllan @ xubexube0 @ Ritaotunga"";;""947199674745802752"";https://twitter.com/Allan_Philbert/status/947199674745802752",,,,,,,,,
";2017-12-30 20:13;""Indeed"," if people take time to explore the manual side of their camera phone you'll be amazed what you can do these days. My # Huawei phone has great options for manual settings and RAW if need be."";#;""947183955756937217"";https://twitter.com/JP_Simpson/status/947183955756937217",,,,,,,,,,,
";2017-12-30 19:41;""I got a new phone today"," huawei honor 6A and it's been pretty nice to use so far I just don't like the android emojis"";;""947175796636114944"";https://twitter.com/annistaaax/status/947175796636114944",,,,,,,,,,,
